model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro,fit_time_sec
XGBoost,0.9770256916996047,0.9156671535219263,0.8903229354838866,0.9020174742443686,0.995463527796093,6.550258636474609
Decision_Tree,0.9537384716732543,0.8169416711002558,0.8233767596205118,0.8201101460395415,0.9347082588205823,0.9619419574737549
Random_Forest,0.9434123847167325,0.7830370430322148,0.8216403818761581,0.7990531838556326,0.9812904439824314,12.018872022628784
Logistic_Regression,0.9380105401844532,0.774237448215456,0.6666893629618628,0.6695407639653498,0.9739050933392498,1.2653744220733643
